customer_id	first_name	last_name	address	state	postal_code	order_status	product_id	product_name	purchase_amount	date
474745	Tate	Cicetti	126 Brown Trail	TX	76544	canceled	61534	0/0	$49.16	2018-09-20T06:36:33Z
418627	Leonidas	Hiers	670 Johnson Court	AR	72215	new	56466	١٢٣	$105.88	2018-01-10T03:44:18Z
998271	Brittaney	Jacobsen	02 Glendale Alley	TX	79950	new	40446	null	$21.23	2017-12-18T12:05:43Z
526795	Celinka	Sains	0 Manufacturers Circle	IA	50936	canceled	32741	₀₁₂	$10.17	2017-12-22T03:11:02Z
673764	Jeana	Guerola	584 Ridge Oak Trail	VA	23663	new	37002	사회과학원 어학연구소	$4.65	2018-01-21T23:51:36Z
672326	Leelah	Apthorpe	6 Oak Circle	NY	14205	canceled	37887	(｡◕ ∀ ◕｡)	$61.05	2018-02-11T21:04:46Z
311108	Anatole	Ceschelli	12958 Reinke Point	TX	75323	canceled	84687	部落格	$83.91	2018-07-10T07:12:53Z
323290	Blondelle	Chidler	20 Sunbrook Alley	NC	27264	new	79432	NULL	$40.95	2018-01-16T14:22:27Z
503685	Shelby	Scully	7 Carey Avenue	OH	44393	canceled	95345	😍	$102.01	2018-01-23T10:16:51Z
563645	Arly	Chestle	20 Chive Plaza	NY	11407	canceled	11646	ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.	$21.25	2017-11-22T04:17:47Z
2356	Broderic	Kibby	36 Dawn Center	OK	73129	new	76790	・(￣∀￣)・:*:	$45.13	2018-02-19T05:15:56Z
128926	Valerie	Shelton	394 Magdeline Point	MD	21282	new	7111	​	$42.32	2018-04-20T11:04:49Z
487275	Helen-elizabeth	Ratcliff	18 Northview Circle	TX	78255	canceled	7718	　	$72.76	2018-04-05T04:30:57Z
120613	Den	Worledge	050 Sullivan Terrace	AL	36125	canceled	58477	Œ„´‰ˇÁ¨ˆØ∏”’	$41.85	2018-07-06T16:53:04Z
305500	Woody	Elstow	6 Fremont Street	TX	77260	new	99373	"""''''""'"""	$42.67	2018-07-10T12:31:31Z
103082	Aloysia	Kensy	115 3rd Alley	TX	77201	new	94552	ÅÍÎÏ˝ÓÔÒÚÆ☃	$45.36	2018-07-17T15:58:26Z
323256	Sondra	Dashkovich	8 Russell Circle	MA	02298	canceled	71173	-1E+02	$94.26	2018-01-01T18:03:04Z
358557	Lena	Rizzetti	06081 Drewry Plaza	NY	10249	new	99088	ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.	$133.41	2017-11-27T19:45:18Z
22352	Sonny	Ridgway	176 Oriole Plaza	OK	74103	new	7809	1.00	$57.14	2017-11-07T01:47:34Z
956599	Perceval	Kydd	443 Golf Course Alley	PA	15274	new	62000	Œ„´‰ˇÁ¨ˆØ∏”’	$119.70	2017-10-31T15:13:54Z
